Date,Open,High,Low,Close,Adj Close,Volume
2021-09-04,488.407013,510.057648,485.856110,498.078430,498.078430,2310249697
2021-09-05,497.704865,505.116699,489.474915,504.619873,504.619873,1899639214
2021-09-06,504.698090,508.822235,488.678955,495.925018,495.925018,2206397359
2021-09-07,496.036346,504.603149,372.302948,417.508789,417.508789,4471687569
2021-09-08,417.918884,425.493561,384.231445,415.113159,415.113159,2940929033
2021-09-09,405.580597,435.717407,404.521149,421.270020,421.270020,2392139922
2021-09-10,421.268890,438.922180,394.062836,401.621796,401.621796,2306735739
2021-09-11,401.263489,415.357025,400.299255,405.527374,405.527374,1567255682
2021-09-12,405.399170,421.207581,398.032135,416.683228,416.683228,1671909230
2021-09-13,416.796600,419.282013,385.376038,399.063446,399.063446,2194763765
2021-09-14,399.206787,414.319550,396.416077,414.236237,414.236237,1598465255
2021-09-15,414.493500,436.416351,410.453949,431.423035,431.423035,1838828414
2021-09-16,431.290588,433.192780,416.176239,424.649231,424.649231,1720989872
2021-09-17,424.403564,425.766235,401.842041,406.632813,406.632813,1516642578
2021-09-18,406.462433,420.001984,401.778442,410.809296,410.809296,1310349981
2021-09-19,410.603119,419.182587,403.718628,408.471649,408.471649,1243314915
2021-09-20,408.513550,409.643311,357.273315,361.965912,361.965912,2344102082
2021-09-21,364.053528,375.666107,339.014343,344.534607,344.534607,2045164899
2021-09-22,343.665405,380.008453,342.680054,379.440338,379.440338,1678913732
2021-09-23,379.155670,384.777222,369.652008,383.820404,383.820404,1576382603
2021-09-24,383.806305,385.319275,335.506195,355.316284,355.316284,2081157733
2021-09-25,355.407379,360.630066,344.190918,349.880096,349.880096,1388464569
2021-09-26,349.880676,352.698151,320.368744,344.181763,344.181763,1958526741
2021-09-27,344.651703,357.292999,335.790466,336.191223,336.191223,1507056912
2021-09-28,335.807556,344.275574,330.073853,333.032593,333.032593,1294330921
2021-09-29,333.397919,375.006866,331.448517,367.989594,367.989594,2385693434
2021-09-30,367.786011,388.268768,366.644257,387.057343,387.057343,1796235646
2021-10-01,387.635986,423.344269,382.131378,421.643188,421.643188,2162493378
2021-10-02,421.477081,438.107025,411.038330,428.098328,428.098328,1740937420
2021-10-03,427.351105,437.100372,421.938873,430.508820,430.508820,1470899248
2021-10-04,430.584503,430.725586,411.952148,425.748901,425.748901,1647171955
2021-10-05,426.214203,443.914246,424.114349,442.706146,442.706146,1526827785
2021-10-06,442.406250,442.479309,415.667725,435.401367,435.401367,2006344571
2021-10-07,434.961914,449.935883,424.309174,438.761749,438.761749,1962989705
2021-10-08,438.475250,441.513794,416.706024,419.102051,419.102051,2678048368
2021-10-09,418.755981,425.974823,416.823853,421.549469,421.549469,1404867667
2021-10-10,421.795685,422.050415,402.829254,405.069305,405.069305,1437068558
2021-10-11,404.527466,423.550110,401.221252,413.456207,413.456207,1473121389
2021-10-12,413.486755,443.867523,392.570770,443.867523,443.867523,3142304145
2021-10-13,444.405640,471.656921,434.446625,470.749695,470.749695,5149146903
2021-10-14,470.538666,482.644867,461.855347,472.022400,472.022400,2486819344
2021-10-15,472.600403,476.755951,453.900085,473.702637,473.702637,2804538828
2021-10-16,473.994690,483.557800,463.511475,465.642456,465.642456,1904086807
2021-10-17,465.722107,472.298004,455.405182,470.625549,470.625549,1646437501
2021-10-18,470.914429,487.499695,467.584778,485.111023,485.111023,1999805026
2021-10-19,485.099426,497.258331,481.973633,488.148865,488.148865,1844483840
2021-10-20,488.053833,505.267944,482.246033,501.020325,501.020325,1890415594
2021-10-21,501.347839,504.648621,467.422363,471.256927,471.256927,3081793454
2021-10-22,470.959381,498.014191,470.959381,478.643158,478.643158,1962748496
2021-10-23,478.942261,485.906433,473.112579,485.906433,485.906433,1170864603
2021-10-24,485.990143,486.802704,468.198212,476.633118,476.633118,1246191889
2021-10-25,475.924255,488.894318,474.872162,484.645081,484.645081,1337787876
2021-10-26,484.706879,489.774170,475.286285,478.025055,478.025055,1486193826
2021-10-27,478.121063,486.167511,440.445007,449.007996,449.007996,2340091135
2021-10-28,448.885834,494.914886,447.619720,492.015533,492.015533,2626956133
2021-10-29,492.432556,533.475403,488.872162,529.622131,529.622131,2667451365
2021-10-30,529.822693,539.938843,511.931305,527.921204,527.921204,2194893915
2021-10-31,528.547302,534.770935,510.565460,524.364441,524.364441,2076289915
2021-11-01,524.738220,552.073669,512.176270,551.255920,551.255920,2535579529
2021-11-02,551.747559,564.022705,538.399963,554.447632,554.447632,2401108112
2021-11-03,554.557373,570.259338,538.531006,568.578796,568.578796,2567651316
2021-11-04,568.578125,569.121277,544.876831,559.737305,559.737305,2260479871
2021-11-05,559.390503,615.580872,555.056091,608.648071,608.648071,3675930507
2021-11-06,608.263489,636.113953,596.764465,636.113953,636.113953,2779927044
2021-11-07,638.186035,669.345825,632.079285,650.454041,650.454041,3017167868
2021-11-08,650.467407,655.713684,632.687073,654.315002,654.315002,2828112534
2021-11-09,654.000366,657.040588,632.331665,635.190613,635.190613,2198989754
2021-11-10,635.038391,662.306519,578.074280,615.278076,615.278076,3653998344
2021-11-11,615.455200,634.844421,606.409180,629.892334,629.892334,2341652507
2021-11-12,629.144226,634.520569,604.162720,626.642517,626.642517,2209163398
2021-11-13,627.079590,655.320862,620.587830,650.104126,650.104126,2106170805
2021-11-14,650.062256,659.992676,634.549500,650.918091,650.918091,2101401990
2021-11-15,650.943115,660.044189,631.942261,633.048645,633.048645,2146877925
2021-11-16,634.947632,635.260376,574.180115,589.822876,589.822876,3772957260
2021-11-17,589.328064,593.108093,554.321411,578.092773,578.092773,2704847734
2021-11-18,578.034851,587.912720,518.423096,532.237610,532.237610,2917116815
2021-11-19,531.505127,585.899475,525.241516,581.530823,581.530823,2481119529
2021-11-20,581.478516,604.884216,574.022766,603.840027,603.840027,2336197759
2021-11-21,604.408997,605.177124,580.587097,585.294250,585.294250,2055539646
